# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 Bank02__max_failures_allowed=1 Bank02__sector_A_i0=500 beta=0.02 default_seed=18776 eta=0.2 Firms02__A_i0=1.0 Firms02__K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_Bank02__deposits_and_networth=0 threshold_Bank02_rupt=0 w=1.0
  t,Bank02_L,Bank02_A,Bank02_D,Bank02_PROFITS,Bank02_BD,Firms02_K,Firms02_A,Firms02_L,Firms02_PROFITS,Firms02_Y,Firms02_R,Firms02_I,Firms02_GAMMA,Firms02_U,Firms02_DK,Firms02_OL,Firms02_GAP_OF_L,Firms02_DL,Firms02_FAIL
 55,286391.276881841,22911.302150547283,263479.97473129374,-12.844846816600022,2.799175013225476,6.681107113162042,789.9539410470321,1.9806254731008854,178.30891903737407,6.863428669955996,0.004164472871977146,-500.8201994544238,1.002248479155621,1.0663603144106053,119.34517880062184,278078.4738959911,0.0,-650.847480282402,2
 56,295863.48229429824,23669.07858354386,272194.40371075436,-15.42219249594593,0.0,6.702017511917701,804.7895566868578,2.2253758541202857,10.036440626600537,6.884339068711656,0.0007242828525178546,-594.1149786431229,1.0018663938738241,0.9516338072663176,212.2787889589839,286079.4774902955,0.0,-764.6948369865532,0
 57,304730.5147310307,24378.441178482455,280352.07355254825,19.23312025065001,0.7004703375891674,6.902268790769878,894.3227211652165,4.607226210035227,89.53316447835863,7.084590347563833,0.07543338023586527,-592.5279900532165,1.0007242828525178,1.060157293953145,221.5185280508717,295631.923402614,0.0,-593.3074692625869,2
 58,318577.6919196462,25486.2153535717,293091.47656607453,-13.537419899130892,16.650808839817927,6.06858382072839,394.7942955050298,3.618297812357718,-502.22889599777614,6.250905377522345,0.005825361952332084,-807.81480739018,1.0751545777336653,0.9636170642445424,193.54739540354228,304441.253640541,0.0,-797.2646846107825,4
 59,322820.395864885,25825.631669190803,296994.7641956942,-5.107805820886109,67.2582341452742,6.517974780131275,201.26043810948755,6.165302443081075,-214.18466623535997,6.700296336925229,0.004087917605268814,-456.63455419283645,1.005811380497726,0.9950311882821125,7.482943269466124,318368.1279822965,0.0,69.69149294744679,2
 60,326662.358479777,26132.98867838216,300529.3698013948,-6.223171665517085,22.572673728124418,6.021718415471324,313.40673426162806,4.593904288666272,42.88806200686609,6.20403997226528,0.0022997571357696654,-418.1366090785861,1.0034610539242106,1.0846947747162454,-57.79117362236379,322637.0202171858,0.0,-274.72634131908677,6
 61,332452.022448992,26596.16179591936,305855.86065307265,-9.089723341545028,2.1331351725203236,5.657883742374349,270.62255245032867,2.7675166404606113,-71.35685553942373,5.840205299168303,0.005605060959846503,-441.97468378944313,1.0020526780004704,1.0450209046116463,-16.59676983280811,326435.5417373942,0.0,-461.17091126531307,5
 62,336571.7223480616,26925.73778784493,309645.9845602167,-7.165911747221134,25.24629178442001,5.553590416165998,182.3506617100534,4.3282584921783975,-95.40502591279538,5.735911972959954,0.005175104419241479,-366.60493757978963,1.0047803182989936,0.964224903889652,-57.27922727746192,332255.7479813558,0.0,-286.4274818815897,7
 63,340252.734099187,27220.218727934964,313032.515371252,-0.46767061464483195,2.3814125348998747,5.653691255517377,232.78243362805694,3.9619622959695637,18.185480133583567,5.836012812311332,0.011137427396016803,-325.4792125556524,1.0021006535947712,1.0059134208157903,-79.37899108732273,336433.3986827118,0.0,-250.24386895248418,5
 64,344610.28187625244,27568.822550100198,317041.4593261522,-6.837018145195182,3.613120716798032,5.694860662442604,282.99858068105937,2.6628282657211466,42.8347345181024,5.877182219236559,0.006734405888275238,-378.36709354357856,1.0055684535656493,1.0062810230388914,-80.10081441209209,340091.07159352757,0.0,-346.1903936005579,2
 65,349457.7295099249,27956.618360793993,321501.1111491309,-5.339892380346659,0.0,5.709819549987576,295.10676289777234,1.9035747571729356,6.495061499915053,5.892141106781531,0.024772645800877496,-356.6360384017709,1.0040483775017561,1.0008855993004628,-49.72930527918322,344430.03411278117,0.0,-386.0063870345897,0
 66,355378.21958885906,28430.257567108725,326947.96202175034,-5.427591827044778,0.6875320983643695,5.821908389990488,301.5766802968177,3.5846033901170364,6.469917399045232,6.004229946784442,0.005717845199421683,-382.2240727805369,1.0247726458008775,1.0080336208314484,-80.40747222127035,349260.40185795026,0.0,-382.0092966189578,2
 67,361704.1628328027,28936.333026624216,332767.82980617846,88.24177850714742,0.0,6.030086231901808,348.9009523963125,4.202450203007747,44.636740001130434,6.212407788695763,0.04023654384718177,-392.55623555276577,1.0058815081736443,1.0784076169955412,-45.192182195169856,355191.3138102632,0.0,-357.6807341121684,0
 68,370095.0276900848,29607.602215206785,340487.42547487805,-9.52178774982049,60.782524324019086,5.5529481478067595,239.7026864143928,2.9065929701438797,-109.19826598191958,5.735269704600714,0.001910930692655135,-491.5844113570523,1.0402365438471817,0.9933390043656075,-75.83353253181183,361417.41763238626,0.0,-469.3712249292545,3
 69,374970.91157965554,29997.672926372445,344973.2386532831,28.298685684113643,1.9514636824083953,6.008183476968385,352.54508707651644,3.9926569644681997,49.05987633810449,6.190505033762339,0.02194824555614509,-356.63613648817454,1.0013062622078401,0.9666267056480151,-31.526811228823128,369918.03789213183,0.0,-313.07243049198865,3
 70,381329.8789285963,30506.390314287706,350823.48861430865,-9.096445139585075,31.185672439546632,5.920302745829953,345.7840851484067,3.2861752271237896,-11.712465610518121,6.102624302623908,0.005098029887957891,-456.99507638514297,1.0147500328151056,0.9921961656200899,-37.97839240808326,374737.44364430837,0.0,-447.6849926993077,4
 71,386910.64763355633,30952.851810684508,355957.79582287185,-9.002137234963268,19.298551839093008,5.976762704016624,350.37064530025634,3.7794428226542647,-30.599112287696922,6.159084260810578,0.004809223720556789,-411.4930830938843,1.0031891379632192,0.9894754335078763,-0.7513897783819257,381116.23645588255,0.0,-432.6775427764719,4
 72,391682.80738255737,31334.624590604588,360348.1827919528,-7.303161582882425,0.0,5.877155013087349,345.7330802386317,2.4033029461446205,-27.936116900717657,6.059476569881304,0.02246343830824527,-397.8066882617519,1.0036582216630505,0.9936596199690232,-4.386063141184442,386728.7418205049,0.0,-378.53640301798316,0
 73,397988.09983025497,31839.0479864204,366149.0518438346,2.151630156613809,7.414713329183413,6.225751315565433,416.0783625159679,4.49451126414833,70.34528227733608,6.408072872359389,0.033222778410460896,-395.87055135674456,1.0224634383082454,0.9540643502770065,-39.077825584874724,391500.4069228,0.0,-356.87478892278864,3
 74,405539.58057490905,32443.166445992727,373096.41412891634,-7.205000979669516,0.1802408382448173,6.165324682904933,443.92531448284126,3.4666835171632537,17.43223863769,6.3476462396988875,0.007824878526162699,-505.77440615181155,1.0221712609455458,0.9618168693486254,-20.719837762087803,397765.3551763935,0.0,-529.3429398868661,2
 75,411429.5976340268,32914.36781072214,378515.22982330463,-8.026537983956981,0.6148789321375829,6.188722520140355,474.1431143512367,2.5710978161102385,28.037559030150707,6.37104407693431,0.005963576075819748,-470.11676265397426,1.0081478736810483,0.9802061981702831,15.785845224303618,405344.85699942656,0.0,-463.1330325517713,2
 76,417413.8732901164,33393.10986320931,384020.76342690707,-9.526048713476055,3.7291091701214407,5.93658253601713,355.75348796504295,3.1304923252082895,-121.00450531833148,6.118904092811084,0.015046336396390528,-449.27301363098167,1.0049544796191268,0.9381552281000786,44.185995814566596,411236.491826935,0.0,-464.57999154729725,3
 77,421684.04027318757,33734.723221855005,387949.31705133256,3.2021779132637533,2.603550401892152,6.079411541565836,346.5325849039009,4.502467379401843,-15.950012231263493,6.261733098359791,0.014426832544024909,-396.91554630086836,1.0021473367687341,0.9882915573151114,-5.717816066808809,417238.1848907028,0.0,-251.88466344899388,2
 78,426860.8690840006,34148.869526720046,392711.99955728056,-7.442396007158592,1.8968018981710586,5.745247476512394,293.91009344561365,2.9333732935485535,-57.22604186017948,5.927569033306348,0.0037491204802696737,-472.47944264234275,1.01253488153934,0.9600131702453567,-32.6879816367605,421485.9393828807,0.0,-372.3004461418239,3
 79,430670.16392473225,34453.61311397858,396216.55081075366,-6.025723985757954,1.5987369739874704,5.98515463663139,376.6518370876412,3.036497226138289,77.8449417438566,6.167476193425344,0.00221071992965885,-370.3551931823564,1.003013252705076,0.992876411735494,-40.87567589916053,426719.2326588258,0.0,-298.2215643055779,2
 80,436015.8850831627,34881.27080665302,401134.6142765097,-36.3731577391451,1.937249054775804,5.929587224334777,366.3541949233151,2.26644830496749,-13.89637913831362,6.111908781128731,0.0776951729539366,-402.9376976323334,1.001896481838998,1.0382368168416605,4.153948655506951,430472.2525003479,0.0,-456.95407082104913,3
 81,440772.3047408642,35261.784379269135,405510.5203615951,-7.375487703491176,0.44820544542443663,6.024781906181455,379.5937013850444,3.525116745251012,8.302257406953672,6.207103462975411,0.0015893052144271816,-384.4536559259049,1.0011720886927122,1.0668145581628574,2.871156853941506,435846.30701602675,0.0,-356.60063095033325,2
