# experiment1.py N=100 T=1000 alpha=0.08 b=0.015 BankZ_max_failures_allowed=1 BankZ_sector_A_i0=500 beta=0.02 default_seed=17833 eta=0.9 FirmsZ_A_i0=1.0 FirmsZ_K_i0=5.0 g=1.0 k=1.0 lambda_param=0.3 phi=1.2 r_i0=0.02 rate_for_BankZ_deposits_and_networth=0 threshold_BankZrupt=0 w=1.0
  t,BankZL,BankZA,BankZD,BankZPROFITS,BankZBD,FirmsZK,FirmsZA,FirmsZL,FirmsZPROFITS,FirmsZY,FirmsZR,FirmsZI,FirmsZGAMMA,FirmsZU,FirmsZDK,FirmsZOL,FirmsZGAP_OF_L,FirmsZDL,FirmsZFAIL
 55,376608.6126756717,30128.689014053736,346479.92366161797,-10.625990173189564,0.0,4.523891849942663,92.19370474177106,nan,-0.5541057150954269,4.706213406736618,0.0,-535.2627941173222,1.0,0.9106020361473207,-442.5149836604556,369847.1151760323,0.0,-531.2995086594782,0
 56,383155.400211094,30652.43201688752,352502.9681942065,-10.68863271089358,0.0,4.624072259112388,101.90818482294348,nan,9.714480081172427,4.806393815906343,0.0,-534.9857412597745,1.0,1.0125936074983484,-442.7920365180033,376348.67400841106,0.0,-534.431635544679,0
 57,389887.4791130179,31190.99832904143,358696.4807839765,-10.991149227630665,0.0,4.582349580000586,97.74378145376758,nan,-4.164403369175913,4.76467113679454,0.0,-539.8429813003604,1.0,0.9617744231442699,-437.9347964774173,382883.31528861664,0.0,-549.5574613815332,0
 58,396424.0347220388,31713.922777763102,364710.1119442757,-10.671927524931935,0.0,4.620082427275734,101.502398350915,nan,3.7586168971474176,4.802403984069689,0.0,-537.7607796157727,1.0,1.0011803267232846,-440.016998162005,389635.9376648302,0.0,-533.5963762465967,0
 59,403080.6688578169,32246.453508625353,370834.21534919157,-10.867974099229878,0.0,4.621060013582854,101.60167422314301,nan,0.09927587222795875,4.803381570376807,0.0,-539.6400880643464,1.0,0.9922638930034968,-438.1376897134312,396160.1353034786,0.0,-543.3987049614939,0
 60,409693.0841307576,32775.44673046061,376917.637400297,-10.795780037453767,0.0,4.612561875179209,100.74190751602733,nan,-0.8597667071156678,4.7948834319731635,0.0,-539.6897260004604,1.0,0.9842324293453398,-438.08805177731756,402821.91010817216,0.0,-539.7890018726883,0
 61,416288.48506101995,33303.078804881596,382985.40625613835,-10.768001518795737,0.0,4.742025330569871,114.66620362807365,nan,13.924296112046353,4.924346887363826,0.0,-539.2598426469025,1.0,1.1189068067841739,-438.5179351308753,409429.5296488773,0.0,-538.4000759397868,0
 62,423150.2770745034,33852.022165960276,389298.25490854314,-11.20292573629944,0.0,4.571337267143249,96.67330140132542,nan,-17.99290222674821,4.7536588239372035,0.0,-546.2219907029258,1.0,0.9276759777314839,-431.55578707485193,415998.86237471993,0.0,-560.146286814972,0
 63,429510.87688219757,34360.87015057581,395150.00673162175,-10.384652747256068,0.0,4.629670231495411,102.48026377432191,nan,5.806962372996469,4.811991788289366,0.0,-537.2255395895514,1.0,1.0145017909394567,-440.5522381882261,422895.05222921405,0.0,-519.2326373628034,0
 64,436198.5926757732,34895.88741406186,401302.7052617113,-10.918719662980923,0.0,4.600707312606498,99.55470704396454,nan,-2.925556730357271,4.783028869400454,0.0,-540.1290207760499,1.0,0.9737423337066062,-437.6487570017278,429242.732862425,0.0,-545.9359831490461,0
